"Subject" "Group" "Activity" "Mean" "SD"
"2" "Test" "Walking" -0.385708093716054 0.471751410540144
"4" "Test" "Walking" -0.43055661483918 0.485536384535955
"9" "Test" "Walking" -0.37164660578822 0.467267674726799
"10" "Test" "Walking" -0.327086776127028 0.459226854544395
"12" "Test" "Walking" -0.355560155447154 0.465934707083466
"13" "Test" "Walking" -0.316988827925179 0.460854393995368
"18" "Test" "Walking" -0.436306077297177 0.474007929974224
"20" "Test" "Walking" -0.259518117088663 0.458475195837703
"24" "Test" "Walking" -0.416975175176002 0.473945996502654
"2" "Test" "Walking Upstairs" -0.363983305102955 0.466703992931453
"4" "Test" "Walking Upstairs" -0.415260374462441 0.482342658990012
"9" "Test" "Walking Upstairs" -0.427075431896002 0.480856175330876
"10" "Test" "Walking Upstairs" -0.345652600356602 0.463053071179259
"12" "Test" "Walking Upstairs" -0.42179157558609 0.4801841508273
"13" "Test" "Walking Upstairs" -0.411582073864772 0.481399962634359
"18" "Test" "Walking Upstairs" -0.470681472754459 0.490071688258084
"20" "Test" "Walking Upstairs" -0.338291941451443 0.467024672485213
"24" "Test" "Walking Upstairs" -0.43583828688532 0.474251576812081
"2" "Test" "Walking Downstairs" -0.259677293061387 0.465729490758389
"4" "Test" "Walking Downstairs" -0.363790441016887 0.485503779291866
"9" "Test" "Walking Downstairs" -0.313140747277053 0.475828264325837
"10" "Test" "Walking Downstairs" -0.263162073365728 0.463337371199746
"12" "Test" "Walking Downstairs" -0.311490436338625 0.479102128871457
"13" "Test" "Walking Downstairs" -0.317234723087439 0.463191730560919
"18" "Test" "Walking Downstairs" -0.438663811185222 0.484648090481038
"20" "Test" "Walking Downstairs" -0.247169665420288 0.471620332044863
"24" "Test" "Walking Downstairs" -0.359085991984149 0.472990421003547
"2" "Test" "Sitting" -0.640597914078914 0.536914141147994
"4" "Test" "Sitting" -0.627074988752137 0.530636923654938
"9" "Test" "Sitting" -0.627530823653232 0.524475751851574
"10" "Test" "Sitting" -0.640078551091241 0.542251226544214
"12" "Test" "Sitting" -0.636301750626951 0.52622870168125
"13" "Test" "Sitting" -0.638179130162868 0.543066636603673
"18" "Test" "Sitting" -0.650240242162375 0.534395879168263
"20" "Test" "Sitting" -0.639872725383092 0.527767117830281
"24" "Test" "Sitting" -0.646619496620551 0.526925830839725
"2" "Test" "Standing" -0.636454993012462 0.536059426538189
"4" "Test" "Standing" -0.618583772157932 0.530351097607765
"9" "Test" "Standing" -0.633713631013694 0.526030674232032
"10" "Test" "Standing" -0.630886542166037 0.526755493498941
"12" "Test" "Standing" -0.627684013763497 0.530219182625889
"13" "Test" "Standing" -0.639297749080434 0.535187318003595
"18" "Test" "Standing" -0.645518459042212 0.53099975134502
"20" "Test" "Standing" -0.620027732157146 0.523601719784163
"24" "Test" "Standing" -0.634194893841734 0.53344655282101
"2" "Test" "Laying" -0.639973837827844 0.543318302012276
"4" "Test" "Laying" -0.630875080725603 0.538918856382756
"9" "Test" "Laying" -0.628414047268328 0.530063039309266
"10" "Test" "Laying" -0.633606314208568 0.538143814511992
"12" "Test" "Laying" -0.63012919397725 0.528718342661708
"13" "Test" "Laying" -0.624337936876007 0.553755547011914
"18" "Test" "Laying" -0.645039855011435 0.539909038662556
"20" "Test" "Laying" -0.644397438696908 0.532311298923294
"24" "Test" "Laying" -0.634203387560794 0.541737906273239
"1" "Train" "Walking" -0.319105810200331 0.0278419990337527
"3" "Train" "Walking" -0.386865862874514 0.0285668627455366
"5" "Train" "Walking" -0.378535121986988 0.0312474196651784
"6" "Train" "Walking" -0.337513362522582 0.0447062344925116
"7" "Train" "Walking" -0.306764482858546 0.052168347068853
"8" "Train" "Walking" -0.299755499867352 0.0372242082245907
"11" "Train" "Walking" -0.431366510871248 0.0190036643057412
"14" "Train" "Walking" -0.385501824502105 0.0232699869516493
"15" "Train" "Walking" -0.390526282476396 0.0261308674882875
"16" "Train" "Walking" -0.431362808379042 0.0171892610967098
